Changed;Fighter;String;String_uk;
;Cowboy;Well, put it there, one-slinger!||You did it, and you lived to fight another day!||And when that day comes you'll lose for sure,|so don't you worry about ol' Cowboy.;Well, put it there, one-slinger!||You did it, and you lived to fight another day!||And when that day comes you'll lose for sure,|so don't you worry about ol' Cowboy.;
;Cowboy;Welcome back, squartner! Good fighting, but I reckon I can|take you next time, you just wait and see.;Welcome back, squartner! Good fighting, but I reckon I can|take you next time, you just wait and see.;
;Rat King;Take, then, thy victory!||Do with it what thou wilt in these underground realms,|for never wilt thou return to the surface!;Take, then, thy victory!||Do with it what thou wilt in these underground realms,|for never wilt thou return to the surface!;
;Rat King;In truth, it would be undignified for a king to|fight as well as a simple adventurer.||Have thy moment of victory, thou wilt not have my crown!;In truth, it would be undignified for a king to|fight as well as a simple adventurer.||Have thy moment of victory, thou wilt not have my crown!;
;Rat King;Ah, mayhap I have lost, yet am I not still a king?||And in truth, thou hast won, yet art|thou not still a weird ugly dice?;Ah, mayhap I have lost, yet am I not still a king?||And in truth, thou hast won, yet art|thou not still a weird ugly dice?;
;Rat King;Thy victory is fleeting, and my majesty is eternal!|Thou shalt cower in terror yet!;Thy victory is fleeting, and my majesty is eternal!|Thou shalt cower in terror yet!;
;Warlock (just translate *long sigh* and leave the rest in latin – it's intentional);*long sigh* Alea jacta est.;*long sigh* Alea jacta est.;
;Banshee;AAAAAAAAAAAAAAA;AAAAAAAAAAAAAAA;
;Banshee;AAAAAAAA||AAAAAAAAAA;AAAAAAAA||AAAAAAAAAA;
;Banshee;AAAAA||AAAAAA|AAAAAA||AAAAAAAAAAAAAAA;AAAAA||AAAAAA|AAAAAA||AAAAAAAAAAAAAAA;
;Banshee;AAAAAA||AAAAAAAAAA|AAAAA|AAA|AA|A;AAAAAA||AAAAAAAAAA|AAAAA|AAA|AA|A;
;Cornelius;...;...;
;Paper Knight;It's not fair! It's not fair! I'm telling Lady Luck!;It's not fair! It's not fair! I'm telling Lady Luck!;
;Paper Knight;Aaaaaaa, you cheated, I'm telling on you!||You're gonna be in so much trouble!;Aaaaaaa, you cheated, I'm telling on you!||You're gonna be in so much trouble!;
;Paper Knight;I told Lady Luck you were still fighting and she said you were|going to get sent to detention! So there!;I told Lady Luck you were still fighting and she said you were|going to get sent to detention! So there!;
;Skeleton;Inside every adventurer is a skeleton|just waiting to get out.;Inside every adventurer is a skeleton|just waiting to get out.;
;Skeleton;Your hapless flesh will fail you one day!||You can't rely on anything except bones!;Your hapless flesh will fail you one day!||You can't rely on anything except bones!;
;Skeleton;I guess now that you've won we'll never find out|what a dice's skeleton looks like.;I guess now that you've won we'll never find out|what a dice's skeleton looks like.;
;Singer;Ugh, that sucks.||Well, adversity fuels art. I'll turn this into a song!;Ugh, that sucks.||Well, adversity fuels art. I'll turn this into a song!;
;Singer;Ugh, I'll have to add this as an extra verse to the|song I wrote last time.;Ugh, I'll have to add this as an extra verse to the|song I wrote last time.;
;Singer;Hey, don't run off, take a flyer for my show, I'm|playing an open mic night next Tuesday...;Hey, don't run off, take a flyer for my show, I'm|playing an open mic night next Tuesday...;
;Madison;What, you're not even going to buy any cookies?||That's super rude!;What, you're not even going to buy any cookies?||That's super rude!;
;Madison;Hi, I'm Madison! I'm 12 years old and I'm|here to make sure you lose!;Hi, I'm Madison! I'm 12 years old and I'm|here to make sure you lose!;
;Madison;You lose! That means you have to buy ALL my|cookies. It's the law.;You lose! That means you have to buy ALL my|cookies. It's the law.;
;Dragon;Oh! That was great! You're great! You're a|*great* fighter! Can we do it again? || Wait, I'm tired now! Are you tired? |I'm tired! zzZZZzzZZZzzz;Oh! That was great! You're great! You're a|*great* fighter! Can we do it again? || Wait, I'm tired now! Are you tired? |I'm tired! zzZZZzzZZZzzz;
;Dragon;Oh! Hello! Are you here to fight? Let's fight!||Who's a good fighter? I'm a good fighter!;Oh! Hello! Are you here to fight? Let's fight!||Who's a good fighter? I'm a good fighter!;
;Dragon;Oh! That was so good! Let's fight again one day!|Wait no I'm tired now. Are you tired? I'm tired!;Oh! That was so good! Let's fight again one day!|Wait no I'm tired now. Are you tired? I'm tired!;
;Gym Leader;Ugh! Well, thanks for inspiring me to work harder.||I'll get you next time!;Ugh! Well, thanks for inspiring me to work harder.||I'll get you next time!;
;Gym Leader;Great to see you! Just a heads-up: I'm not gonna go|easy on you. I hope you've done your stretches!;Great to see you! Just a heads-up: I'm not gonna go|easy on you. I hope you've done your stretches!;
;Gym Leader;Bad luck there! Keep working hard! You'll make it one day!;Bad luck there! Keep working hard! You'll make it one day!;
;Aoife;...I won't make that mistake twice.;...I won't make that mistake twice.;
;Aoife;Hey. It's over, dice kid.;Hey. It's over, dice kid.;
;Aoife;Don't say I didn't warn you.;Don't say I didn't warn you.;
;Vampire;Yeah well you look ridiculous and you're doomed anyway,|so I hope you're pleased with yourself.;Yeah well you look ridiculous and you're doomed anyway,|so I hope you're pleased with yourself.;
;Vampire;Yeah okay then, let's fight. I told everyone to go easy on you,|you know, I wanted to take you out myself.;Yeah okay then, let's fight. I told everyone to go easy on you,|you know, I wanted to take you out myself.;
;Vampire;Ugh, that was hardly worth the trouble. Hopeless.;Ugh, that was hardly worth the trouble. Hopeless.;
;Scathach;So falls the injured hawk to the carrion vulture.||...||Way out's over there, no need to hang around|getting in the way all afternoon.;So falls the injured hawk to the carrion vulture.||...||Way out's over there, no need to hang around|getting in the way all afternoon.;
;Scathach;Ah, for the lost caress of the wind,|the call of the birds in the air.||Oh well. In the absence of any of that,|a fight'll do nicely.;Ah, for the lost caress of the wind,|the call of the birds in the air.||Oh well. In the absence of any of that,|a fight'll do nicely.;
;Scathach;So the trees reach back to the sun, the tide comes in again,|and all is right with the world.||Buzz off then - game's over, loser.;So the trees reach back to the sun, the tide comes in again,|and all is right with the world.||Buzz off then - game's over, loser.;
;Queen Bee;Oh, sweetie, really? You're here to fight me again?|That is... so adorable.;Oh, sweetie, really? You're here to fight me again?|That is... so adorable.;
;Queen Bee;What! No! That's impossible! ...you're going to|regret this, you little... pipsqueak.;What! No! That's impossible! ...you're going to|regret this, you little... pipsqueak.;
;Queen Bee;Oh don't cry, sweetie, nobody can blame you for trying.||And you'll know better next time. Won't you?;Oh don't cry, sweetie, nobody can blame you for trying.||And you'll know better next time. Won't you?;
;Wisp;Daaaa! Daaa! Da-doo! Bounce bounce!||I love it when you contestants win,|your victory song is so much fun!;Daaaa! Daaa! Da-doo! Bounce bounce!||I love it when you contestants win,|your victory song is so much fun!;
;Wisp;BOUNCE BOUNCE BOUNCE!||Yippeeee! You can do it!;BOUNCE BOUNCE BOUNCE!||Yippeeee! You can do it!;
;Rose;The poets don't write about... dice, you know.||Would *you* smell as sweet by any|other name? I rather think not.;The poets don't write about... dice, you know.||Would *you* smell as sweet by any|other name? I rather think not.;
;Rose;Well, as the poet said, 'they are not long, the days of wine and roses'.|I don't believe he mentioned dice.;Well, as the poet said, 'they are not long, the days of wine and roses'.|I don't believe he mentioned dice.;
;Rose;[quote]O rose, thou art sick![quote], the poet said. He blamed an invisible|worm, but it turns out the problem was dice.;[quote]O rose, thou art sick![quote], the poet said. He blamed an invisible|worm, but it turns out the problem was dice.;
;Rose;Well, gather ye roses while ye may, as the poet says.||You instead chose to gather your dice, and I can't say it|turned out to be an *entirely* terrible idea.;Well, gather ye roses while ye may, as the poet says.||You instead chose to gather your dice, and I can't say it|turned out to be an *entirely* terrible idea.;
;Cactus;Oh, WHY can't I do better?|What am I doing wrong?||I'm not trained for this, I'm just a plant!;Oh, WHY can't I do better?|What am I doing wrong?||I'm not trained for this, I'm just a plant!;
;Cactus;Oh, but I tried so hard!||I don't know what else I can do. I used a special gel|on my spikes but they won't grow any sharper.;Oh, but I tried so hard!||I don't know what else I can do. I used a special gel|on my spikes but they won't grow any sharper.;
;Cactus;Ohhh, I lose AGAIN. And nobody wants to give a cactus a|nice comforting hug!;Ohhh, I lose AGAIN. And nobody wants to give a cactus a|nice comforting hug!;
;Cactus;Thank you for visiting, it's so nice to see you!||Oh, I wish I could beat you just once, though.;Thank you for visiting, it's so nice to see you!||Oh, I wish I could beat you just once, though.;
;Rhino Beetle;FEE. FI. FO. FICE. I SMELL THE BLOOD|OF A WALKING DICE.;FEE. FI. FO. FICE. I SMELL THE BLOOD|OF A WALKING DICE.;
;Rhino Beetle;BE YOU ALIVE OR BE YOU DEAD I'LL ROLL|YOUR BONES TO MAKE MY BREAD.;BE YOU ALIVE OR BE YOU DEAD I'LL ROLL|YOUR BONES TO MAKE MY BREAD.;
;Rhino Beetle;HELLO, FRIEND. YOU WILL PERISH, BUT IT IS|GOOD TO SEE YOU AGAIN.;HELLO, FRIEND. YOU WILL PERISH, BUT IT IS|GOOD TO SEE YOU AGAIN.;
;Aurora;You haven't been here long yet, have you?||I can still smell the rain on you, I can see the last|glimpses of sunlight in your eyes.;You haven't been here long yet, have you?||I can still smell the rain on you, I can see the last|glimpses of sunlight in your eyes.;
;Aurora;Was it cold when you entered the dungeons? Was there hail?|Are the snowstorms still looking for me?;Was it cold when you entered the dungeons? Was there hail?|Are the snowstorms still looking for me?;
;Aurora;A fair fight. I'm sorry you didn't get your hearts desire, but|at least you got to see the towering clouds again.;A fair fight. I'm sorry you didn't get your hearts desire, but|at least you got to see the towering clouds again.;
;Bounty Hunter;A crushing defeat - and yet still a thousand times more enjoyable|than anything which happened on X-av-5guu!||Your planet is remarkable!;A crushing defeat - and yet still a thousand times more enjoyable|than anything which happened on X-av-5guu!||Your planet is remarkable!;
;Bounty Hunter;Oh well! I'm very used to losing fights. On my home planet|of X-av-5guu I was bullied cruelly for wearing a monocle.||Here on earth, everyone is so surprised to|see an alien that they don't even notice.;Oh well! I'm very used to losing fights. On my home planet|of X-av-5guu I was bullied cruelly for wearing a monocle.||Here on earth, everyone is so surprised to|see an alien that they don't even notice.;
;Bounty Hunter;Another loss! I mourn it! If I won, Lady Luck was going to|let me taste ice cream for the very first time.||It is sweet, yet it is cold! Ridiculous! How can that be?;Another loss! I mourn it! If I won, Lady Luck was going to|let me taste ice cream for the very first time.||It is sweet, yet it is cold! Ridiculous! How can that be?;
;Pirate;Aye I'm far from the sea but a fella like me?||Though the ocean's apart I'm a pirate at heart!;Aye I'm far from the sea but a fella like me?||Though the ocean's apart I'm a pirate at heart!;
;Pirate;A pirate cares nothing for 'win' or for 'lose'.|A pirate cares only for fighting and booze!;A pirate cares nothing for 'win' or for 'lose'.|A pirate cares only for fighting and booze!;
;Pirate;See my beard! Ye admire it?|It's 'cos I'm a pirate!;See my beard! Ye admire it?|It's 'cos I'm a pirate!;
;Pirate;Arrrr, good to see ye back! Ye'll not find it easier just because|ye beat Lady Luck once, yer know...;Arrrr, good to see ye back! Ye'll not find it easier just because|ye beat Lady Luck once, yer know...;
;Rotten Apple;Hey, hey, why is a dice like an apple?||THEY BOTH HAVE PIPS DO YOU SEE;Hey, hey, why is a dice like an apple?||THEY BOTH HAVE PIPS DO YOU SEE;
;Rotten Apple;Hey, why is a dice like an apple?||Because they both yearn to one day escape the Dicey Dungeons!;Hey, why is a dice like an apple?||Because they both yearn to one day escape the Dicey Dungeons!;
;Rotten Apple;Hey, why is a dice like an apple?||We both contain zero cholesterol.||Not everything is a joke, you know. Sometimes|it's good to learn a fact!;Hey, why is a dice like an apple?||We both contain zero cholesterol.||Not everything is a joke, you know. Sometimes|it's good to learn a fact!;
;Rotten Apple;Hey, hey, why is a dice like an apple?||Because they're both vicious fighters that did equally well in|that fight just then, I think absolutely let's call that a draw.;Hey, hey, why is a dice like an apple?||Because they're both vicious fighters that did equally well in|that fight just then, I think absolutely let's call that a draw.;
;Gargoyle;(hee heee hee, the rocks will crush you and|you will perish here alone);(hee heee hee, the rocks will crush you and|you will perish here alone);
;Gargoyle;(pleased with yourself?)||(hee hee, you may win one fight, but the stones of the|dungeons will weigh heavy on your soul for ever);(pleased with yourself?)||(hee hee, you may win one fight, but the stones of the|dungeons will weigh heavy on your soul for ever);
;Gargoyle;(heeee, you think you're going to win, don't you? But|the granite around you yearns to be your grave.);(heeee, you think you're going to win, don't you? But|the granite around you yearns to be your grave.);
;Gargoyle;(heeehee, you think because you won the game, you're free.)||(But you're never free of the weight of the earth and|the heft of the stones.);(heeehee, you think because you won the game, you're free.)||(But you're never free of the weight of the earth and|the heft of the stones.);
;Space Marine (Tutorial);Ahhh! A new contestant!||Time to fire up the plasma blaster again!;Ahhh! A new contestant!||Time to fire up the plasma blaster again!;
;Jester (Round 1 begin);Hey there, friend!||Your enthusiasm is adorable, but I'll let|you in on a secret:||It's time for you to die!;Hey there, friend!||Your enthusiasm is adorable, but I'll let|you in on a secret:||It's time for you to die!;
;Jester (Round 1 end);I could have sworn it was time for you to die!||Is my watch wrong? What time do you make it?;I could have sworn it was time for you to die!||Is my watch wrong? What time do you make it?;
;Jester (Round 2 begin);Oh, you're back!||Wait, that was another giant dice.||Well, you're all equally doomed so there's no|point getting to know your names.;Oh, you're back!||Wait, that was another giant dice.||Well, you're all equally doomed so there's no|point getting to know your names.;
;Jester (Round 2 end);Are you sure you're not dead?||I mean, this show has a pretty rigid format and|survival isn't usually part of it...;Are you sure you're not dead?||I mean, this show has a pretty rigid format and|survival isn't usually part of it...;
;Jester (Round 3 begin);Hey, it's a dice enemy!||How are you getting on with the dungeons?|Feeling at home yet?||After all, it's not like you're ever gonna leave!;Hey, it's a dice enemy!||How are you getting on with the dungeons?|Feeling at home yet?||After all, it's not like you're ever gonna leave!;
;Jester (Round 3 end);...How are you doing this? It's like you believe|there's a way out or something!;...How are you doing this? It's like you believe|there's a way out or something!;
;Jester (Round 4 begin);Hey, it's a little dice buddy!||Sorry, friend, it's definitely for real time to die.;Hey, it's a little dice buddy!||Sorry, friend, it's definitely for real time to die.;
;Jester (Round 4 end);Y'know, you really remind me of me when I was a contestant.||But don't get your hopes up. It all seemed to be|going fine for me as well, at first.;Y'know, you really remind me of me when I was a contestant.||But don't get your hopes up. It all seemed to be|going fine for me as well, at first.;
;Jester (Round 5 begin);What's going on with you dice, anyway?||Why are you still fighting?||Why haven't you been defeated yet?||This can't go on...;What's going on with you dice, anyway?||Why are you still fighting?||Why haven't you been defeated yet?||This can't go on...;
;Jester (Round 5 end);Wow. Wow! I never lost this often!||You know what? Maybe you'll do it.||Maybe you'll win the whole thing, burn|the dungeons down. Why not?;Wow. Wow! I never lost this often!||You know what? Maybe you'll do it.||Maybe you'll win the whole thing, burn|the dungeons down. Why not?;
;Jester (Round 6 begin);Look, I wish I didn't have to stop you.||But I don't have a choice.;Look, I wish I didn't have to stop you.||But I don't have a choice.;
;Jester (Round 6 end);...huh. Huh!||I was kinda joking before but... maybe you can really win this!||You could get your heart's desire AND get out of here...||... Yeah! You know what? You can!||And I'm coming with you!;...huh. Huh!||I was kinda joking before but... maybe you can really win this!||You could get your heart's desire AND get out of here...||... Yeah! You know what? You can!||And I'm coming with you!;
;Gardener;"Yeah, get out of here then!||And don't you DARE pick my raspberries, they're|for ME and MY FRIENDS and NOT for thoughtless|adventurers! ";"Yeah, get out of here then!||And don't you DARE pick my raspberries, they're|for ME and MY FRIENDS and NOT for thoughtless|adventurers! ";
;Frog;When I have a big sword like I DESERVE then this|won't happen again! YOU JUST WAIT AND SEE.;When I have a big sword like I DESERVE then this|won't happen again! YOU JUST WAIT AND SEE.;
