Changed?,String,String_uk,Location,Notes,
,MUST EQUAL 9,MUST EQUAL 9,Combat,These two dice need to total this number,
,MUST EQUAL 10,MUST EQUAL 10,Combat,These two dice need to total this number,
,MUST EQUAL 11,MUST EQUAL 11,Combat,These two dice need to total this number,
,MUST EQUAL 12,MUST EQUAL 12,Combat,These two dice need to total this number,
,Place a dice,Place a dice,Combat,,
,to release shock,to release shock,Combat,,
,Place two dice,Place two dice,Combat,,
,to break silence,to break silence,Combat,,
,(single use only),(single use only),Combat,Written on equipment that can only be used once per battle,
,Spellbook,Spellbook,Combat,Name of the witch's skillcard,
,Cast Spell,Cast Spell,Combat,,
,Do [sword]1 dmg,Do [sword]1 dmg,Combat,,
,Current Gadget,Current Gadget,Combat,Name of the inventor's skillcard,
,Current Gadgets,Current Gadgets,Combat,,
,Warrior Skills,Warrior Skills,Combat,Name of the warrior's skillcard,
,Tweaks,Tweaks,Combat,Shown on the warrior skillcard - allows you to change the value of a dice up or down,
,INNATE,INNATE,Combat,Shown in this context: INNATE: Enemy is weak against poison,
,[;] and,[;] and,Combat,When showing Innate skills - for joining multiple innates together,
,gets an extra [dice] dice every turn,gets an extra [dice] dice every turn,Combat,Innate text,
,goes first,goes first,Combat,Innate text,
,is immune to fire,is immune to fire,Combat,Innate text,
,is immune to poison,is immune to poison,Combat,Innate text,
,is strong against poison,is strong against poison,Combat,Innate text,
,is strong against fire,is strong against fire,Combat,Innate text,
,absorbs fire,absorbs fire,Combat,Innate text,
,absorbs poison,absorbs poison,Combat,Innate text,
,is weak to poison,is weak to poison,Combat,Innate text,
,is weak to fire,is weak to fire,Combat,Innate text,
,is weak to ice,is weak to ice,Combat,Innate text,
,can only be killed with a wooden stake,can only be killed with a wooden stake,Combat,Innate text,
,is shocked every turn,is shocked every turn,Combat,Innate text,
,Back to Title,Back to Title,Editor,Button: Back to title screen,
,Random,Random,Editor,Button: Choose a random enemy in the editor,
,Change,Change,Editor,Button: Change either the player or the enemy in the editor,
,(warning: changing characters resets them),(warning: changing characters resets them),Editor,,
,Current player,Current player,Editor,,
,Inventory,Inventory,Editor,Button: Access player inventory in editor,
,Give Item,Give Item,Editor,Button: Give the player an item,
,Upgrade,Upgrade,Editor,Button: Upgrade some player equipment,
,Level Up,Level Up,Editor,Button: Level up in the editor,
,More Dice,More Dice,Editor,Button: Give the player more dice,
,Less Dice,Less Dice,Editor,Button: Give the player less dice,
,More HP,More HP,Editor,Button: Give the player more hp,
,Less HP,Less HP,Editor,Button: Give the player less HP,
,Learn spell,Learn spell,Editor,Button: Learn a spell as the witch,
,Guilds (max 1):,Guilds (max 1):,Editor,,
,Guild of Power,Guild of Power,Editor,,
,Guild of Greed,Guild of Greed,Editor,,
,Guild of Sacrifice,Guild of Sacrifice,Editor,,
,Assassin's Guild,Assassin's Guild,Editor,,
,Innovator's Guild,Innovator's Guild,Editor,,
,Sorceress Guild,Sorceress Guild,Editor,,
,All,All,Editor,Category of items: Show everything,
,Weapons,Weapons,Editor,Category of items: Show just weapons,
,Shields,Shields,Editor,Category of items: Show just shields,
,Magic,Magic,Editor,Category of items: Show just magic,
,Items,Items,Editor,Category of items: Show just items,
,Custom,Custom,Editor,Category of items: Show custom equipment,
,Upgraded?,Upgraded?,Editor,Show the upgraded version of this equipment,
,Preview upgrade?,Preview upgrade?,Spellbook,Toggle to preview the upgraded version of a spell,
,Change Spell,Change Spell,Spellbook,Button: Change the prepared spell,
,Ok,Ok,Equipment Menu,Button: Confirm,
,Equip it now,Equip it now,Equipment Menu,Button: Equip the thing you found,
,Backpack,Backpack,Equipment Menu,Button: Open your backpack from an equipment screen,
,Ignore it,Ignore it,Equipment Menu,Button: Don't collect the equipment,
,Victory! You throw away your boring old gadget. You are inspired to create a new gadget!,Victory! You throw away your boring old gadget. You are inspired to create a new gadget!,Inventor battle victory,,
,Choose an item to [yellow]destroy for parts[]!,Choose an item to [yellow]destroy for parts[]!,Inventor battle victory,,
,Make this!,Make this!,Inventor battle victory,,
,(No space left),(No space left),Shop,,
,Bear,Bear,Special Enemy,,
,Cost [heart]2,Cost [heart]2,Warrior Skillcard,,
,Health Restored! Max Health +[heart]5!,Health Restored! Max Health +[heart]5!,Level up,,
,An extra dice,An extra dice,Level up,,
,Take,Take,Level up,Button: Take Level up perk,
,Would you like to buy something?,Would you like to buy something?,Shop,,
,Buy,Buy,Shop,Button: Buy something,
,Exit,Exit,Shop,Button: Leave the shop,
,Leave,Leave,Shop,Button: Leave the guild,
,v0.10.2[;] 12th July 2018 [yellow](itch.io)[],v0.10.2[;] 12th July 2018 [yellow](itch.io)[],Title Screen,Current build info,
,Title Screen,Title Screen,Music Credits,Button (go back to the title screen),
,player,player,Editor,Default text when no player is selected,
,enemy,enemy,Editor,Default text when no enemy is selected,
,Current player: {selectedplayer},Current player: {selectedplayer},Editor,e.g. Current Player: Warrior,
,Current enemy: {currentenemy},Current enemy: {currentenemy},Editor,e.g. Current Player: Banshee,
,None,None,Editor,Used in above strings if no player or monster is selected,
,ERROR! ERROR! ERROR!,ERROR! ERROR! ERROR!,Character Selection,Robot description,
,Out of bounds exception!,Out of bounds exception!,Character Selection,Robot description,
,Difficulty,Difficulty,Character Selection,How complex the character is to play (Warrior is 1 star – Witch is 5),
,CPU,CPU,Combat,Robot‘s dice rolling mechanic - displayed beside gold - health and level info in the bottom left corner,
,Calculate,Calculate,Combat,Robot skill – rolls an extra dice,
,TARGET,TARGET,Combat,Robot skill – try to roll below or equal to this number,
,Target,Target,Combat,Robot skill – try to roll below or equal to this number,
,ERROR,ERROR,Combat,Robot skill – if you go over the target,
,Error,Error,Combat,Robot skill – if you go over the target,
,JACKPOT,JACKPOT,Combat,Robot skill – if you hit the target exactly,
,Jackpot,Jackpot,Combat,Robot skill – if you hit the target exactly,
,Jackpot,Jackpot,Combat,Lowercase – used in the title of the skillcard when you hit the target exactly,
,is immune to burn[;] shock[;] and freeze,is immune to burn[;] shock[;] and freeze,Combat,Innate text,
,{player} wins! Found [gold]{goldfound} Gold and [yellow]{expamount} [star]!,{player} wins! Found [gold]{goldfound} Gold and [yellow]{expamount} [star]!,Combat,Message shown when player wins combat,
,{nextlevel} [star] to level up,{nextlevel} [star] to level up,Combat,Shows how many stars until next level up,
,You are at max level!,You are at max level!,Level up,,
,Health Restored! Max Health +[heart]5!,Health Restored! Max Health +[heart]5!,Level up,,
,Congratulations! You are now level {playerlevel}!,Congratulations! You are now level {playerlevel}!,Level up,,
,Choose ONE additional reward,Choose ONE additional reward,Level up,,
,{playername} level {playerlevel},{playername} level {playerlevel},Level up,Shown on level up screen: e.g. Warrior Level 2,
,LIMIT,LIMIT,Combat,Show below limit break bar,
,What do you want to do?,What do you want to do?,Found Item,Choose an option between pickup backback and leave,
,[yellow]When activated:,[yellow]When activated:,Found Item,Special robot equipment: needs to roll a certain number of dice before it works,
,Select a spell,Select a spell,Found Spell,Two lines,
,to replace,to replace,Found Spell,Two lines,
,You have found a new spell!,You have found a new spell!,Found Spell,,
,You have found {item}!,You have found {item}!,Found Item,,
,Empty Slot,Empty Slot,Spellbook,,
,Game by Terry Cavanagh,Game by Terry Cavanagh,Credits,,
,Music by Chipzel,Music by Chipzel,Credits,,
,Art by Marlowe Dobbe,Art by Marlowe Dobbe,Credits,,
,Learn Spell,Learn Spell,Spellbook,,
,Select a spell to replace,Select a spell to replace,Spellbook,,
,Bear Smash!,Bear Smash!,Map Screen,Appears when bear attempts to do anything,
,Roar,Roar,Map Screen,Appears instead of inventory button for bear,
,No space left,No space left,Found Item,If you do not have space in your equipment slots for the item,
,You have found the [yellow]{guildname}[]!,You have found the [yellow]{guildname}[]!,Guild menu,This text appears when you find a guild - for example – You have found the Guild of Greed! or You have found the Sorceress Guild!,
,cannot undo,cannot undo,Guild menu,a warning that you are unable to undo joining a guild,
,[heart]{hp} Extra Health,[heart]{hp} Extra Health,Level up reward,,
,YOU RECEIVE,YOU RECEIVE,Level up reward,,
,Copy Equipment,Copy Equipment,Level up reward,,
,Prepared Spell Slot,Prepared Spell Slot,Level up reward,,
,prepared slot,prepared slot,Level up reward,,
,Upgraded Spell Slot,Upgraded Spell Slot,Level up reward,,
,upgraded,upgraded,Level up reward,,
,Equipment Upgrade,Equipment Upgrade,Level up reward,,
,Restore [heart]10 HP,Restore [heart]10 HP,Level up reward,,
,+{extracpu} extra CPU,+{extracpu} extra CPU,Level up reward,,
,An extra dice,An extra dice,Level up reward,,
,Activating...,Activating...,Robot,,
,Roll any {x} dice,Roll any {x} dice,Robot,,
,to activate,to activate,Robot,,
,Select equipment to upgrade,Select equipment to upgrade,Equipment Upgrading,,
,{equipname} cannot be upgraded any further.,{equipname} cannot be upgraded any further.,Equipment Upgrading,,
,{equipname} cannot be upgraded.,{equipname} cannot be upgraded.,Equipment Upgrading,,
,Upgrading {equipname} {upgradedescription}.,Upgrading {equipname} {upgradedescription}.,Equipment Upgrading,,
,reduces its size,reduces its size,Equipment Upgrading,,
,reduces its countdown,reduces its countdown,Equipment Upgrading,,
,makes it more powerful,makes it more powerful,Equipment Upgrading,,
,increases its poison damage,increases its poison damage,Equipment Upgrading,,
,makes it easier to play,makes it easier to play,Equipment Upgrading,,
,allows it to use larger dice,allows it to use larger dice,Equipment Upgrading,,
,lowers its cost to play,lowers its cost to play,Equipment Upgrading,,
,converts it into a countdown,converts it into a countdown,Equipment Upgrading,,
,changes its return damage to a constant [sword]3,changes its return damage to a constant [sword]3,Equipment Upgrading,,
,gives a clue to how it works,gives a clue to how it works,Equipment Upgrading,,
,reduces its power,reduces its power,Equipment Upgrading,,
,allows you to use it every turn,allows you to use it every turn,Equipment Upgrading,,
,makes it reuseable,makes it reuseable,Equipment Upgrading,,
,adds a bonus 1 to it,adds a bonus 1 to it,Equipment Upgrading,,
,adds a bonus 2 to it,adds a bonus 2 to it,Equipment Upgrading,,
,adds a bonus 3 to it,adds a bonus 3 to it,Equipment Upgrading,,
,adds a bonus 4 to it,adds a bonus 4 to it,Equipment Upgrading,,
,adds a bonus 5 to it,adds a bonus 5 to it,Equipment Upgrading,,
,adds a bonus 6 to it,adds a bonus 6 to it,Equipment Upgrading,,
,[gray](One use this turn),[gray](One use this turn),Multi use equipment,,
,[gray](2 uses this turn),[gray](2 uses this turn),Multi use equipment,,
,[gray](3 uses this turn),[gray](3 uses this turn),Multi use equipment,,
,[gray](4 uses this turn),[gray](4 uses this turn),Multi use equipment,,
,[gray](5 uses this turn),[gray](5 uses this turn),Multi use equipment,,
,[gray](6 uses this turn),[gray](6 uses this turn),Multi use equipment,,
,[gray](7 uses this turn),[gray](7 uses this turn),Multi use equipment,,
,[gray](8 uses this turn),[gray](8 uses this turn),Multi use equipment,,
,[gray](9 uses this turn),[gray](9 uses this turn),Multi use equipment,,
,[gray](10 uses this turn),[gray](10 uses this turn),Multi use equipment,,
,[gray]({usesleft} uses this turn),[gray]({usesleft} uses this turn),Multi use equipment,,
,{playername} was defeated...,{playername} was defeated...,Combat,,
,Equipment upgraded!,Equipment upgraded!,Equipment Upgrading,,
,Cost: [gold]{cost} gold,Cost: [gold]{cost} gold,Shop,The cost of items in a shop,
,[heart] {hp} health,[heart] {hp} health,Map Screen,Health gained from eating an apple,
,Dicey Dungeons,Dicey Dungeons,General,The game's title as used on the title screen. Talk to me about this!,
,Miscellaneous bug fixes.,Miscellaneous bug fixes.,General,,
,Fixed critical bugs.,Fixed critical bugs.,General,,
,English,English,Language,as it would appear in a language selection menu,
,Irish,Irish,Language,as it would appear in a language selection menu,
,German,German,Language,as it would appear in a language selection menu,
,Spanish,Spanish,Language,as it would appear in a language selection menu,
,Italian,Italian,Language,as it would appear in a language selection menu,
,French,French,Language,as it would appear in a language selection menu,
,Portuguese,Portuguese,Language,as it would appear in a language selection menu,
,Latin American Spanish,Latin American Spanish,Language,as it would appear in a language selection menu,
,Brazilian Portuguese,Brazilian Portuguese,Language,as it would appear in a language selection menu,
,Russian,Russian,Language,as it would appear in a language selection menu,
,Korean,Korean,Language,as it would appear in a language selection menu,
,Japanese,Japanese,Language,as it would appear in a language selection menu,
,Simplified Chinese,Simplified Chinese,Language,as it would appear in a language selection menu,
,Traditional Chinese,Traditional Chinese,Language,as it would appear in a language selection menu,
,Turkish,Turkish,Language,as it would appear in a language selection menu,
,Ukrainian,Ukrainian,Language,as it would appear in a language selection menu,
,Polish,Polish,Language,as it would appear in a language selection menu,
,Swedish,Swedish,Language,as it would appear in a language selection menu,
,Norwegian,Norwegian,Language,as it would appear in a language selection menu,
,Dutch,Dutch,Language,as it would appear in a language selection menu,
,Danish,Danish,Language,as it would appear in a language selection menu,
,End Turn,End Turn,Combat,Click this to end your turn,
,Flee,Flee,Flee,Click this to attempt to run away from battle,
,Place dice anywhere,Place dice anywhere,Combat,Witch's spellbook tutorial text (1/3),
,on the Spellbook to,on the Spellbook to,Combat,Witch's spellbook tutorial text (2/3),
,create equipment,create equipment,Combat,Witch's spellbook tutorial text (3/3),
,Yay[;] congratulations! You've completed the alpha!,Yay[;] congratulations! You've completed the alpha!,End Screen,Text displayed when you complete the dungeon with any character (1/7),
,Dicey Dungeons is still a work in progress[;] and stuff is changing all,Dicey Dungeons is still a work in progress[;] and stuff is changing all,End Screen,Text displayed when you complete the dungeon with any character (2/7),
,the time. Check back again in a few weeks to see what's new!,the time. Check back again in a few weeks to see what's new!,End Screen,Text displayed when you complete the dungeon with any character (3/7),
,If you want to keep up with the latest versions[;] you,If you want to keep up with the latest versions[;] you,End Screen,Text displayed when you complete the dungeon with any character (4/7),
,can follow me on [yellow]itch.io[][;] on twitter ([yellow]@terrycavanagh[])[;],can follow me on [yellow]itch.io[][;] on twitter ([yellow]@terrycavanagh[])[;],End Screen,Text displayed when you complete the dungeon with any character (5/7),
,or join the discord (at [yellow]diceydungeons.com[]).,or join the discord (at [yellow]diceydungeons.com[]).,End Screen,Text displayed when you complete the dungeon with any character (6/7),
,Thanks for playing! [heart] Terry,Thanks for playing! [heart] Terry,End Screen,Text displayed when you complete the dungeon with any character (7/7),
,Play again,Play again,End Screen,Button to return to the title screen from the game complete screen,
,Welcome to the Dicey Dungeons Editor!,Welcome to the Dicey Dungeons Editor!,Editor,Warning displayed when you start the editor,
,Beware. This spoils THE WHOLE game.,Beware. This spoils THE WHOLE game.,Editor,Warning displayed when you start the editor,
,Proceed at your own peril!,Proceed at your own peril!,Editor,Warning displayed when you start the editor,
,I understand!,I understand!,Editor,Radio button that you need to toggle before you can use the editor,
,is immune to freeze,is immune to freeze,Combat,Innate text,
,A copy has been added to your backpack!,A copy has been added to your backpack!,Equipment Copying,Similar to equipment upgrading - makes a copy of selected equipment,
,Select item to copy,Select item to copy,Equipment Copying,Similar to equipment upgrading - makes a copy of selected equipment,
,Make a copy of {equipname},Make a copy of {equipname},Equipment Copying,Similar to equipment upgrading - makes a copy of selected equipment,
,{playername} fled...,{playername} fled...,Combat,Displayed when you successfully run away,
,{playername} attempts to flee!,{playername} attempts to flee!,Combat,Displayed when you attempt to run away,
,New Gadget,New Gadget,Combat,Shown when an inventor is offered a new gadget,
,Cannot upgrade,Cannot upgrade,Equipment Upgrading,,
,Select a slot,Select a slot,Spellbook,Shown above spells when you cast a spell and need to choose a slot for it,
,Immune,Immune,Combat,Used in various places when an attack has no effect,
,Arabic,Arabic,Language,as it would appear in a language selection menu,
,Mods,Mods,Title Screen,Opens the Modding screen (for custom modifications to the game),
,New Mod,New Mod,Mods Screen,Create a new mod,
,Mods to load,Mods to load,Mods Screen,A list of available modifications to load,
,Click to inspect,Click to inspect,Mods Screen,Instructions – click to examine this mod,
,Selected Mod,Selected Mod,Mods Screen,Currently selected mod,
,Load Mod(s),Load Mod(s),Mods Screen,On button – click this to load mods,
,Installed Mods,Installed Mods,Mods Screen,A list of mods that are currently installed,
,Click to add/remove,Click to add/remove,Mods Screen,Shown under Installed Mods list,
,Move Up,Move Up,Mods Screen,Move this mod up in the mods list,
,Move Down,Move Down,Mods Screen,Move this mod down in the mods list,
,Actions,Actions,Editor,A list of actions you can take with this character in the editor,
,Make Gadget,Make Gadget,Editor,Button – make a gadget as inventor,
,Dice,Dice,Editor,Can't believe this wasn't in here until now!,
,Health,Health,Editor,,
,Gadget,Gadget,Editor,,
,SPELL SLOTS: NO SPELLS PREPARED,SPELL SLOTS: NO SPELLS PREPARED,Witch Spellbook,,
,SPELL SLOTS: ONE SPELL PREPARED,SPELL SLOTS: ONE SPELL PREPARED,Witch Spellbook,,
,SPELL SLOTS: TWO SPELLS PREPARED,SPELL SLOTS: TWO SPELLS PREPARED,Witch Spellbook,,
,Fight!,Fight!,Editor,,
,Level 1,Level 1,Editor,,
,Level 2,Level 2,Editor,,
,Level 3,Level 3,Editor,,
,Level 4,Level 4,Editor,,
,Level 5,Level 5,Editor,,
,Add New,Add New,Editor,,
,Name,Name,Editor,Name of custom enemy,
,*** CANNOT UNDO ***,*** CANNOT UNDO ***,Editor,,
,Innate,Innate,Editor,Button text,
,File,File,Editor,Button text,
,Overwrite all stats with template:,Overwrite all stats with template:,Editor,,
,Overwrite,Overwrite,Editor,Button text,
,DELETE,DELETE,Editor,Button text,
,is burnt every turn,is burnt every turn,Combat,Innate text,
,Innate Abilities (max 2):,Innate Abilities (max 2):,Editor,,
,Edit,Edit,Editor,Button text,
,Sprite,Sprite,Editor,,
,Try out the Jester! (alpha),Try out the Jester! (alpha),Character Selection,Temporary character select description for Jester,
,Deck,Deck,Map Screen,The jester has a deck instead of an inventory,
,{currentcard}/{totalcards} cards,{currentcard}/{totalcards} cards,Jester View Deck,for example – 5/14 cards would mean that you have selected card 5 of 14 total,
,Select a card to copy,Select a card to copy,Jester Copy Card Screen,,
,Copy,Copy,Jester Copy Card Screen,Button text,
,{copiedcard} copied!,{copiedcard} copied!,Jester Copy Card Screen,Example – Sword copied!,
,Oh no! You've got no cards left!,Oh no! You've got no cards left!,Jester View Deck,,
,Select a card to destroy,Select a card to destroy,Jester Destroy Card Screen,,
,Destroy,Destroy,Jester Destroy Card Screen,Button text,
,{destroyedcard} destroyed!,{destroyedcard} destroyed!,Jester Destroy Card Screen,Example – Sword destroyed!,
,Select a card to upgrade,Select a card to upgrade,Jester Upgrade Card Screen,,
,Upgrade {upgradedcard}?,Upgrade {upgradedcard}?,Jester Upgrade Card Screen,Example – Update Sword?,
,{upgradedcard} upgraded!,{upgradedcard} upgraded!,Jester Upgrade Card Screen,Example – Sword upgraded!,
,Add to deck,Add to deck,Found Item,When the Jester finds a card click this button to add it to their deck,
,Next up,Next up,Jester Combat,Shown above a list of cards coming up next,
,({remainingcards} left),({remainingcards} left),Jester Combat,Shows the number of cards left in the Jester's deck,
,Snap!,Snap!,Jester Combat,Name of the Jester ability – trades in two matching cards for dice,
,Exchange matching,Exchange matching,Jester Combat,Jester combat abilty description (1 / 2),
,cards for dice,cards for dice,Jester Combat,Jester combat abilty description (2 / 2),
,Destroy a card,Destroy a card,Shop,One of the things the Jester can buy in shops is the ability to destroy a card from their deck,
,Give Card,Give Card,Editor,Button text for Jester,
,Copy Card,Copy Card,Editor,Button text for Jester,
,Delete Card,Delete Card,Editor,Button text for Jester,
,Upgrade Card,Upgrade Card,Editor,Button text for Jester,
,Silesian,Silesian,Language,as it would appear in a language selection menu,
,Finders Keepers! Choose one piece of equipment to keep:,Finders Keepers! Choose one piece of equipment to keep:,Combat,Special thief rules,
,The Warrior's Welcome,The Warrior's Welcome,Quests,Warrior Quest name,
,A straightforward adventure for a straightforward warrior.,A straightforward adventure for a straightforward warrior.,Quests,Warrior Quest Description,
,This'll be Fine,This'll be Fine,Quests,Warrior Quest name,
,You've got two battle axes and all your equipment is|upgraded! Awesome! Also[;] you're extremely cursed!,You've got two battle axes and all your equipment is|upgraded! Awesome! Also[;] you're extremely cursed!,Quests,Warrior Quest Description,
,Vampiric Tendencies,Vampiric Tendencies,Quests,Warrior Quest name,
,By consuming the blood of your enemies[;] you can totally make up|for the slow but inevitable decline of your maximum health.,By consuming the blood of your enemies[;] you can totally make up|for the slow but inevitable decline of your maximum health.,Quests,Warrior Quest Description,
,Thief in the Night,Thief in the Night,Quests,Thief Quest name,
,Business as usual: get in[;] rob a few enemies[;] defeat the|boss[;] get out.,Business as usual: get in[;] rob a few enemies[;] defeat the|boss[;] get out.,Quests,Thief Quest Description,
,Finders Keepers,Finders Keepers,Quests,Thief Quest name,
,Get those pickpocketing fingers ready - this time[;] you're|stealing for keeps.,Get those pickpocketing fingers ready - this time[;] you're|stealing for keeps.,Quests,Thief Quest Description,
,Uptick,Uptick,Quests,Thief Quest name,
,On your first turn[;] all your dice roll 1. On your second[;]|they roll 2. Third time lucky? Nope[;] third time you roll a 3.,On your first turn[;] all your dice roll 1. On your second[;]|they roll 2. Third time lucky? Nope[;] third time you roll a 3.,Quests,Thief Quest Description,
,Rise of the Robot,Rise of the Robot,Quests,Robot Quest name,
,Nothing fancy: just calculation and altercation.,Nothing fancy: just calculation and altercation.,Quests,Robot Quest Description,
,No Going Back,No Going Back,Quests,Robot Quest name,
,"The rational division of labour massively increases efficiency.|So it definitely makes sense to roll all your dice before you|start using equipment. ","The rational division of labour massively increases efficiency.|So it definitely makes sense to roll all your dice before you|start using equipment. ",Quests,Robot Quest Description,
,You Choose[;] You Lose,You Choose[;] You Lose,Quests,Robot Quest name,
,Woah[;] now you can create dice with any value you want! Sure[;] you|lose some equipment each time you do. But still[;] any dice you want!,Woah[;] now you can create dice with any value you want! Sure[;] you|lose some equipment each time you do. But still[;] any dice you want!,Quests,Robot Quest Description,
,Enter the Inventor,Enter the Inventor,Quests,Inventor Quest name,
,Manage your inventory the Inventor-y way: turn those|boring old swords and shields into neat little gadgets!,Manage your inventory the Inventor-y way: turn those|boring old swords and shields into neat little gadgets!,Quests,Inventor Quest Description,
,Double Rubble,Double Rubble,Quests,Inventor Quest name,
,There's so much equipment lying around - why make one|gadget after each combat when you can make two? Wait[;]|not [quote][]can[quote][] - [quote][]must[quote][][;] that's the word.,There's so much equipment lying around - why make one|gadget after each combat when you can make two? Wait[;]|not [quote][]can[quote][] - [quote][]must[quote][][;] that's the word.,Quests,Inventor Quest Description,
,The Inevitability of Rust,The Inevitability of Rust,Quests,Inventor Quest name,
,In a damp and grimy dungeon[;] some of your equipment is|bound to break eventually. It's lucky you're so good at|improvisation!,In a damp and grimy dungeon[;] some of your equipment is|bound to break eventually. It's lucky you're so good at|improvisation!,Quests,Inventor Quest Description,
,The Witch Way,The Witch Way,Quests,Witch Quest name,
,Go work your usual magic!,Go work your usual magic!,Quests,Witch Quest Description,
,Expect the Unexpected,Expect the Unexpected,Quests,Witch Quest name,
,They say a change is as good as a holiday - so[;] you know[;]|think of this as a holiday for your last spell slot.,They say a change is as good as a holiday - so[;] you know[;]|think of this as a holiday for your last spell slot.,Quests,Witch Quest Description,
,Countdown,Countdown,Quests,Witch Quest name,
,It's like magic - your first dice is always a 6! Your next[;] 5. Then 4. |Then 3... hope you've got something to do with that 1 when it arrives.,It's like magic - your first dice is always a 6! Your next[;] 5. Then 4. |Then 3... hope you've got something to do with that 1 when it arrives.,Quests,Witch Quest Description,
,Jester's Journey,Jester's Journey,Quests,Jester Quest name,
,Keep your cards close to your chest... oh yeah[;] by the way[;] you have cards now.,Keep your cards close to your chest... oh yeah[;] by the way[;] you have cards now.,Quests,Jester Quest Description,
,Multicard!,Multicard!,Quests,Jester Quest name,
,Cool! Four cards instead of three!,Cool! Four cards instead of three!,Quests,Jester Quest Description,
,Not Just a Jester,Not Just a Jester,Quests,Jester Quest name,
,A straightforward adventure for a straightforward warrior. But[;] uh[;] for a jester.,A straightforward adventure for a straightforward warrior. But[;] uh[;] for a jester.,Quests,Jester Quest Description,
,Losers[;] Weepers,Losers[;] Weepers,Quests,Jester Quest name,
,Wait[;] maybe this is getting a bit much.,Wait[;] maybe this is getting a bit much.,Quests,Jester Quest Description,
,Classic Hardmode,Classic Hardmode,Quests,Temporary quest available to all characters,
