Changed?,Name,Description,Name_uk,Description_uk,
,Backfire_downgraded,Lose [heart]15 health,Backfire_downgraded,Lose [heart]15 health,
,Backfire_weakened,Lose [heart]15 health,Backfire_weakened,Lose [heart]15 health,
,Backfire_upgraded,Lose [heart]10 health,Backfire_upgraded,Lose [heart]10 health,
,Poison Spell,Inflict [poison]4 poison,Poison Spell,Inflict [poison]4 poison,
,Poison Spell_upgraded,Inflict [poison]5 poison,Poison Spell_upgraded,Inflict [poison]5 poison,
,Toxic Ooze,Do [sword]<d6> damage[;]|on 6[;] add [poison]2 poison,Toxic Ooze,Do [sword]<d6> damage[;]|on 6[;] add [poison]2 poison,
,Toxic Ooze_downgraded,Do [sword]<d6> damage[;]|on 6[;] add [poison]1 poison,Toxic Ooze_downgraded,Do [sword]<d6> damage[;]|on 6[;] add [poison]1 poison,
,Toxic Ooze_upgraded,Do [sword]<d6> damage[;]|on 6[;] add [poison]3 poison,Toxic Ooze_upgraded,Do [sword]<d6> damage[;]|on 6[;] add [poison]3 poison,
,Poison Slingshot,Add [poison]4 poison,Poison Slingshot,Add [poison]4 poison,
,Poison Slingshot_downgraded,Add [poison]2 poison,Poison Slingshot_downgraded,Add [poison]2 poison,
,Poison Slingshot_upgraded,Add [poison]4 poison,Poison Slingshot_upgraded,Add [poison]4 poison,
,Blight,Double [poison] poison,Blight,Double [poison] poison,
,Blight_weakened,Increase [poison] poison|by 50 percent,Blight_weakened,Increase [poison] poison|by 50 percent,
,Blight_downgraded,Increase [poison] poison|by 50 percent,Blight_downgraded,Increase [poison] poison|by 50 percent,
,Claw,Do [sword]<d6> damage[;]|and add [poison]1 poison,Claw,Do [sword]<d6> damage[;]|and add [poison]1 poison,
,Claw_downgraded,Do [sword]<d6> damage,Claw_downgraded,Do [sword]<d6> damage,
,Claw_upgraded,Do [sword]<d6> damage[;]|and add [poison]1 poison,Claw_upgraded,Do [sword]<d6> damage[;]|and add [poison]1 poison,
,Dagger,Do [sword]<d6> damage|[gray](Reuseable),Dagger,Do [sword]<d6> damage|[gray](Reuseable),
,Six Shooter,Do [sword]<d6> damage|[gray](Reuseable),Six Shooter,Do [sword]<d6> damage|[gray](Reuseable),
,Six Shooter_downgraded,Do [sword]<d6> damage,Six Shooter_downgraded,Do [sword]<d6> damage,
,Six Shooter_upgraded,Do [sword]<d6> damage|[gray](Reuseable),Six Shooter_upgraded,Do [sword]<d6> damage|[gray](Reuseable),
,Pierce Spell,Ignore shields,Pierce Spell,Ignore shields,
,Pierce Spell_upgraded,Ignore shields,Pierce Spell_upgraded,Ignore shields,
,Pierce Spell_downgraded,Ignore shields,Pierce Spell_downgraded,Ignore shields,
,Magic Barrier,Add [shield]5 shield,Magic Barrier,Add [shield]5 shield,
,Hall of Mirrors,[]+1 dice this fight,Hall of Mirrors,[]+1 dice this fight,
,Magic Shield,Add [shield]3 shield,Magic Shield,Add [shield]3 shield,
,Magic Shield_upgraded,Add [shield]4 shield,Magic Shield_upgraded,Add [shield]4 shield,
,Magic Missile,Do [sword]5 damage,Magic Missile,Do [sword]5 damage,
,Magic Missile_upgraded,Do [sword]7 damage,Magic Missile_upgraded,Do [sword]7 damage,
,Burning Light,Deal [fire]<d6> damage|Burn [fire]1 dice,Burning Light,Deal [fire]<d6> damage|Burn [fire]1 dice,
,Burning Light_downgraded,Deal [fire]<d6> damage|Burn [fire]1 dice,Burning Light_downgraded,Deal [fire]<d6> damage|Burn [fire]1 dice,
,Healing Crystal,Recover [heal]<d6> health,Healing Crystal,Recover [heal]<d6> health,
,Healing Crystal_upgraded,Recover [heal]<d6> health[;]|reduce poison by 1,Healing Crystal_upgraded,Recover [heal]<d6> health[;]|reduce poison by 1,
,Staff,Deal [fire]6 damage|Burn [fire]1 dice,Staff,Deal [fire]6 damage|Burn [fire]1 dice,
,Staff_downgraded,Deal [fire]3 damage|Burn [fire]1 dice,Staff_downgraded,Deal [fire]3 damage|Burn [fire]1 dice,
,Staff_upgraded,Deal [fire]8 damage|Burn [fire]1 dice,Staff_upgraded,Deal [fire]8 damage|Burn [fire]1 dice,
,Wail,Silence Enemy,Wail,Silence Enemy,
,Squawk,Silence Enemy,Squawk,Silence Enemy,
,Squawk_upgraded,Silence Enemy,Squawk_upgraded,Silence Enemy,
,Squawk_downgraded,Silence Enemy,Squawk_downgraded,Silence Enemy,
,Woof Woof Woof,Repeat next action,Woof Woof Woof,Repeat next action,
,Dire Wolf Howl,Curse Enemy|[gray](items might fail),Dire Wolf Howl,Curse Enemy|[gray](items might fail),
,Dire Wolf Howl_upgraded,Curse Enemy|[gray](items might fail),Dire Wolf Howl_upgraded,Curse Enemy|[gray](items might fail),
,Dire Wolf Howl_downgraded,Curse Enemy|[gray](items might fail),Dire Wolf Howl_downgraded,Curse Enemy|[gray](items might fail),
,Shriek,Curse Enemy|[gray](items might fail),Shriek,Curse Enemy|[gray](items might fail),
,Shriek_upgraded,Curse Enemy|[gray](items might fail),Shriek_upgraded,Curse Enemy|[gray](items might fail),
,Lament,Do [sword]<d6> damage[;]|on 6[;] inflict [ice]1 freeze,Lament,Do [sword]<d6> damage[;]|on 6[;] inflict [ice]1 freeze,
,Lament_upgraded,Do [sword]<d6> damage[;]|on 6[;] inflict [ice]2 freeze,Lament_upgraded,Do [sword]<d6> damage[;]|on 6[;] inflict [ice]2 freeze,
,Nightmare,Do [sword]999 damage,Nightmare,Do [sword]999 damage,
,Nightmare_downgraded,Do [sword]998 damage,Nightmare_downgraded,Do [sword]998 damage,
,Nightmare_weakened,Do [sword]998 damage,Nightmare_weakened,Do [sword]998 damage,
,Midnight Charm,Roll 2 sixes,Midnight Charm,Roll 2 sixes,
,Midnight Charm_weakened,Roll 1 six,Midnight Charm_weakened,Roll 1 six,
,Midnight Charm_downgraded,Roll 1 six,Midnight Charm_downgraded,Roll 1 six,
,Snake Eye Charm,Roll 2 ones,Snake Eye Charm,Roll 2 ones,
,Snake Eye Charm_downgraded,Roll 1 one,Snake Eye Charm_downgraded,Roll 1 one,
,Snake Eye Charm_weakened,Roll 1 one,Snake Eye Charm_weakened,Roll 1 one,
,Chocolate Cookie,Repeat next action,Chocolate Cookie,Repeat next action,
,Fury Spell,Repeat next action,Fury Spell,Repeat next action,
,Dexterity Charm,All equipment is|reuseable this turn,Dexterity Charm,All equipment is|reuseable this turn,
,Dexterity Charm_downgraded,No effect,Dexterity Charm_downgraded,No effect,
,Wall of Flame,[fire]6 dmg + [fire]1 burn|[gray](once per battle),Wall of Flame,[fire]6 dmg + [fire]1 burn|[gray](once per battle),
,Wall of Flame_upgraded,[fire]8 dmg + [fire]1 burn|[gray](once per battle),Wall of Flame_upgraded,[fire]8 dmg + [fire]1 burn|[gray](once per battle),
,Wall of Flame_downgraded,[fire]4 dmg + [fire]1 burn|[gray](once per battle),Wall of Flame_downgraded,[fire]4 dmg + [fire]1 burn|[gray](once per battle),
,Infestation,Curse everyone|[gray](items might fail),Infestation,Curse everyone|[gray](items might fail),
,Infestation_upgraded,Curse enemy|[gray](items might fail),Infestation_upgraded,Curse enemy|[gray](items might fail),
,Infestation_downgraded,Curse yourself,Infestation_downgraded,Curse yourself,
,Detonator,Do [sword]1 damage for|every [poison]1 on enemy,Detonator,Do [sword]1 damage for|every [poison]1 on enemy,
,Antidote,Cure [poison]<slotdoubles> poison,Antidote,Cure [poison]<slotdoubles> poison,
,Antidote_downgraded,Cure [poison]<slotdoubles> poison|(for both you and enemy),Antidote_downgraded,Cure [poison]<slotdoubles> poison|(for both you and enemy),
,Antidote_upgraded,Cure [poison]<d6> poison,Antidote_upgraded,Cure [poison]<d6> poison,
,Crystal Sword,Do [sword]<triple> damage|[gray](once per battle),Crystal Sword,Do [sword]<triple> damage|[gray](once per battle),
,Crystal Sword_downgraded,Do [sword]<double> damage|[gray](once per battle),Crystal Sword_downgraded,Do [sword]<double> damage|[gray](once per battle),
,Crystal Sword_weakened,Do [sword]<double> damage|[gray](once per battle),Crystal Sword_weakened,Do [sword]<double> damage|[gray](once per battle),
,Crystal Sword_deckupgrade,Do [sword]<triple> damage,Crystal Sword_deckupgrade,Do [sword]<triple> damage,
,Bump,Dice value +1,Bump,Dice value +1,
,Bump_upgraded,Dice value +1|[gray](Reuseable),Bump_upgraded,Dice value +1|[gray](Reuseable),
,Nudge,Dice value -1,Nudge,Dice value -1,
,Nudge_upgraded,Dice value -1|[gray](Reuseable),Nudge_upgraded,Dice value -1|[gray](Reuseable),
,Counter Spell,If enemy rolls <d6>[;]|that dice is locked,Counter Spell,If enemy rolls <d6>[;]|that dice is locked,
,Counter Spell_upgraded,Lock dice that roll <d6>|[gray](Reuseable),Counter Spell_upgraded,Lock dice that roll <d6>|[gray](Reuseable),
,Nightstick,[shock]Shocks the enemy|[gray](Reuseable),Nightstick,[shock]Shocks the enemy|[gray](Reuseable),
,Nightstick_upgraded,[shock]Shocks the enemy|[gray](Reuseable),Nightstick_upgraded,[shock]Shocks the enemy|[gray](Reuseable),
,Rock,Do [sword]<d6> damage|[gray](once per battle),Rock,Do [sword]<d6> damage|[gray](once per battle),
,Yoink,Borrow equipment,Yoink,Borrow equipment,
,Yoink_downgraded,Borrow equipment,Yoink_downgraded,Borrow equipment,
,Yoink_upgraded,Borrow everything,Yoink_upgraded,Borrow everything,
,Plasma Cannon,Do [sword]10 damage,Plasma Cannon,Do [sword]10 damage,
,Plasma Cannon_weakened,Do [sword]5 damage,Plasma Cannon_weakened,Do [sword]5 damage,
,Plasma Cannon_downgraded,Do [sword]5 damage,Plasma Cannon_downgraded,Do [sword]5 damage,
,Crossbow,Do [sword]9 damage,Crossbow,Do [sword]9 damage,
,Crossbow_weakened,Do [sword]4 damage,Crossbow_weakened,Do [sword]4 damage,
,Crossbow_downgraded,Do [sword]4 damage,Crossbow_downgraded,Do [sword]4 damage,
,Target Shield,Add [shield]<d6> to shield|[gray](Reuseable),Target Shield,Add [shield]<d6> to shield|[gray](Reuseable),
,Buckler,Add [shield]4 to shield,Buckler,Add [shield]4 to shield,
,Buckler_weakened,Add [shield]2 to shield,Buckler_weakened,Add [shield]2 to shield,
,Buckler_downgraded,Add [shield]2 to shield,Buckler_downgraded,Add [shield]2 to shield,
,Boomerang,Do [sword]<double> to enemy[;]|but [sword]<d6> to yourself,Boomerang,Do [sword]<double> to enemy[;]|but [sword]<d6> to yourself,
,Boomerang_upgraded,Do [sword]<double> to enemy[;]|but [sword]3 to yourself,Boomerang_upgraded,Do [sword]<double> to enemy[;]|but [sword]3 to yourself,
,Wolf Puppy Bite,Do [sword]4 damage,Wolf Puppy Bite,Do [sword]4 damage,
,Wolf Puppy Bite_upgraded,Do [sword]6 damage,Wolf Puppy Bite_upgraded,Do [sword]6 damage,
,Fire Breath,Do [fire]4 damage|Burn [fire]1 dice,Fire Breath,Do [fire]4 damage|Burn [fire]1 dice,
,Fire Breath_upgraded,Do [fire]6 damage|Burn [fire]1 dice,Fire Breath_upgraded,Do [fire]6 damage|Burn [fire]1 dice,
,Fire Breath_downgraded,Do [sword]3 damage,Fire Breath_downgraded,Do [sword]3 damage,
,Lockpick,Split a dice in two,Lockpick,Split a dice in two,
,Lockpick_downgraded,Split value in two,Lockpick_downgraded,Split value in two,
,Lockpick_upgraded,Split a dice in two|On six[;] split into three,Lockpick_upgraded,Split a dice in two|On six[;] split into three,
,Nudgeblade,Do [sword]<d6> damage[;] get|new dice (value -1),Nudgeblade,Do [sword]<d6> damage[;] get|new dice (value -1),
,Nudgeblade_upgraded,Do [sword]<d6> damage[;] get|new dice (value -1),Nudgeblade_upgraded,Do [sword]<d6> damage[;] get|new dice (value -1),
,Nudgeblade_downgraded,Do [sword]<d6> damage[;] get|new dice (value -1),Nudgeblade_downgraded,Do [sword]<d6> damage[;] get|new dice (value -1),
,Nudgeblade_weakened,Do [sword]<d6> damage[;] get|new dice (value -1),Nudgeblade_weakened,Do [sword]<d6> damage[;] get|new dice (value -1),
,Counterfeit,Duplicate a dice,Counterfeit,Duplicate a dice,
,Counterfeit_upgraded,Duplicate a dice,Counterfeit_upgraded,Duplicate a dice,
,Counterfeit_downgraded,Duplicate a dice,Counterfeit_downgraded,Duplicate a dice,
,Counterfeit_weakened,Duplicate a dice,Counterfeit_weakened,Duplicate a dice,
,Dodge,Dodge next attack,Dodge,Dodge next attack,
,Flight,Dodge next attack,Flight,Dodge next attack,
,Pickpocket,Steals [gold]1 gold|[gray](once per battle),Pickpocket,Steals [gold]1 gold|[gray](once per battle),
,Pickpocket_upgraded,Steals [gold]2 gold|[gray](once per battle),Pickpocket_upgraded,Steals [gold]2 gold|[gray](once per battle),
,Poison Needle,Inflict [poison]1 poison|[gray](Reuseable),Poison Needle,Inflict [poison]1 poison|[gray](Reuseable),
,Poison Needle_upgraded,Inflict [poison]1 poison|[gray](Reuseable),Poison Needle_upgraded,Inflict [poison]1 poison|[gray](Reuseable),
,Poison Needle_downgraded,Inflict [poison]1 poison,Poison Needle_downgraded,Inflict [poison]1 poison,
,Crowbar,Reduce the countdowns|on all equipment by <d6>,Crowbar,Reduce the countdowns|on all equipment by <d6>,
,Crowbar_upgraded,Reduce countdowns by <d6>|[gray](Reuseable),Crowbar_upgraded,Reduce countdowns by <d6>|[gray](Reuseable),
,Leather Armor,Reduce [reduce]1 damage|from each attack,Leather Armor,Reduce [reduce]1 damage|from each attack,
,Iron Armor,Reduce [reduce]2 damage|from each attack,Iron Armor,Reduce [reduce]2 damage|from each attack,
,Iron Armor_downgraded,Reduce [reduce]1 damage|from each attack,Iron Armor_downgraded,Reduce [reduce]1 damage|from each attack,
,Grappling Hook,Next equipment has|+1 use this turn,Grappling Hook,Next equipment has|+1 use this turn,
,Grappling Hook_upgraded,Next equipment has|+1 use this turn,Grappling Hook_upgraded,Next equipment has|+1 use this turn,
,Grappling Hook_downgraded,Next equipment has|+1 use this turn,Grappling Hook_downgraded,Next equipment has|+1 use this turn,
,Hacksaw,Split a dice in three,Hacksaw,Split a dice in three,
,Hacksaw_upgraded,Split a dice in three,Hacksaw_upgraded,Split a dice in three,
,Skeleton Key,Set all dice to <slotdoubles>,Skeleton Key,Set all dice to <slotdoubles>,
,Skeleton Key_upgraded,Set all dice to <d6>,Skeleton Key_upgraded,Set all dice to <d6>,
,Skeleton Key_downgraded,Set all dice to 2,Skeleton Key_downgraded,Set all dice to 2,
,Lantern,Get 2x<d6>s next turn|[gray](once per battle),Lantern,Get 2x<d6>s next turn|[gray](once per battle),
,Spiked Shield,Even: [sword]<evendice_d6> damage|Odd: [shield]<odddice_d6> shield,Spiked Shield,Even: [sword]<evendice_d6> damage|Odd: [shield]<odddice_d6> shield,
,Last Stand,Survive the next fatal|blow. (Doesn't stack.),Last Stand,Survive the next fatal|blow. (Doesn't stack.),
,Wooden Stake,Takes final [heart]5 hp|from vampires,Wooden Stake,Takes final [heart]5 hp|from vampires,
,Blood Suck,Drain [heart]<d6> health,Blood Suck,Drain [heart]<d6> health,
,Bandage,Heal [heal]1 health|[gray](Reuseable),Bandage,Heal [heal]1 health|[gray](Reuseable),
,First Aid Kit,Heal [heal]8 health,First Aid Kit,Heal [heal]8 health,
,First Aid Kit_downgraded,Heal [heal]4 health,First Aid Kit_downgraded,Heal [heal]4 health,
,First Aid Kit_weakened,Heal [heal]4 health,First Aid Kit_weakened,Heal [heal]4 health,
,Rosepetal Staff,Mysterious old staff|Inflict [poison]??? poison,Rosepetal Staff,Mysterious old staff|Inflict [poison]??? poison,
,Rosepetal Staff_upgraded,Mysterious old staff|Inflict [poison]??? poison,Rosepetal Staff_upgraded,Mysterious old staff|Inflict [poison]??? poison,
,Rosepetal Shield,Mysterious shield|Add [shield]??? shield,Rosepetal Shield,Mysterious shield|Add [shield]??? shield,
,Rosepetal Shield_upgraded,Mysterious shield|Add [shield]??? shield,Rosepetal Shield_upgraded,Mysterious shield|Add [shield]??? shield,
,Second Wind,Take an extra turn|[gray](once per battle),Second Wind,Take an extra turn|[gray](once per battle),
,Second Wind_downgraded,Roll an extra dice|[gray](once per battle),Second Wind_downgraded,Roll an extra dice|[gray](once per battle),
,Second Wind_weakened,Roll an extra dice|[gray](once per battle),Second Wind_weakened,Roll an extra dice|[gray](once per battle),
,Smog Cloud,Inflict [poison]3 poison|and [blind]3 blind,Smog Cloud,Inflict [poison]3 poison|and [blind]3 blind,
,Smog Cloud_downgraded,Inflict [poison]2 poison|and [blind]2 blind,Smog Cloud_downgraded,Inflict [poison]2 poison|and [blind]2 blind,
,Smog Cloud_upgraded,Inflict [poison]4 poison|and [blind]4 blind,Smog Cloud_upgraded,Inflict [poison]4 poison|and [blind]4 blind,
,Run away!,Run away!,Run away!,Run away!,
,Fists,Do [sword]3 damage|[gray](Reuseable),Fists,Do [sword]3 damage|[gray](Reuseable),
,Fists_upgraded,Do [sword]4 damage|[gray](Reuseable),Fists_upgraded,Do [sword]4 damage|[gray](Reuseable),
,Knuckle Duster,Do [sword]3 damage|[gray](Reuseable),Knuckle Duster,Do [sword]3 damage|[gray](Reuseable),
,Knuckle Duster_upgraded,Do [sword]4 damage|[gray](Reuseable),Knuckle Duster_upgraded,Do [sword]4 damage|[gray](Reuseable),
,Poison Cloud,Inflict [poison]<d6> poison,Poison Cloud,Inflict [poison]<d6> poison,
,Poison Cloud_downgraded,Inflict [poison]<d6> poison,Poison Cloud_downgraded,Inflict [poison]<d6> poison,
,Poison Cloud_upgraded,Inflict [poison]3 poison,Poison Cloud_upgraded,Inflict [poison]3 poison,
,Earthquake,Weaken [weaken]3 equipment[;]|do [weaken]6 damage,Earthquake,Weaken [weaken]3 equipment[;]|do [weaken]6 damage,
,Earthquake_downgraded,Weaken [weaken]2 equipment[;]|do [weaken]6 damage,Earthquake_downgraded,Weaken [weaken]2 equipment[;]|do [weaken]6 damage,
,Earthquake_upgraded,Weaken [weaken]3 equipment[;]|do [weaken]9 damage,Earthquake_upgraded,Weaken [weaken]3 equipment[;]|do [weaken]9 damage,
,Hammer,Do [shock]<d6> damage[;]|on 6[;] inflict [shock]1 shock,Hammer,Do [shock]<d6> damage[;]|on 6[;] inflict [shock]1 shock,
,Hammer_downgraded,Do [shock]<d6> damage,Hammer_downgraded,Do [shock]<d6> damage,
,Hammer_weakened,Do [shock]<d6> damage,Hammer_weakened,Do [shock]<d6> damage,
,Hammer_deckupgrade,Do [shock]<d6> damage|[shock]Shocks the enemy,Hammer_deckupgrade,Do [shock]<d6> damage|[shock]Shocks the enemy,
,Shovel,Do [weaken]<d6> damage[;]|on 6[;] inflict [weaken]1 weaken,Shovel,Do [weaken]<d6> damage[;]|on 6[;] inflict [weaken]1 weaken,
,Shovel_upgraded,Do [weaken]<d6> damage[;]|on even[;] inflict [weaken]1 weaken,Shovel_upgraded,Do [weaken]<d6> damage[;]|on even[;] inflict [weaken]1 weaken,
,Shovel_downgraded,Do [weaken]<d6> damage,Shovel_downgraded,Do [weaken]<d6> damage,
,Electromagnet,Do [sword]<twicetimesused> damage|Add +2 each use,Electromagnet,Do [sword]<twicetimesused> damage|Add +2 each use,
,Electromagnet_downgraded,Do [sword]<twicetimesused> damage,Electromagnet_downgraded,Do [sword]<twicetimesused> damage,
,Electromagnet_weakened,Do [sword]<twicetimesused> damage,Electromagnet_weakened,Do [sword]<twicetimesused> damage,
,Spanner,Combine dice,Spanner,Combine dice,
,Spanner_upgraded,Combine dice|[gray](Reuseable),Spanner_upgraded,Combine dice|[gray](Reuseable),
,Doppeldice,Double dice value,Doppeldice,Double dice value,
,Doppeldice_upgraded,Double dice value,Doppeldice_upgraded,Double dice value,
,Flamethrower,[fire]<d6> dmg[;] +[fire]2 burn|[gray](once per battle),Flamethrower,[fire]<d6> dmg[;] +[fire]2 burn|[gray](once per battle),
,Flamethrower_upgraded,[fire]<d6> dmg[;] +[fire]4 burn|[gray](once per battle),Flamethrower_upgraded,[fire]<d6> dmg[;] +[fire]4 burn|[gray](once per battle),
,Pea Shooter,Do [sword]2 damage|[gray](Reuseable),Pea Shooter,Do [sword]2 damage|[gray](Reuseable),
,Pea Shooter_downgraded,Do [sword]1 damage|[gray](Reuseable),Pea Shooter_downgraded,Do [sword]1 damage|[gray](Reuseable),
,Pea Shooter_upgraded,Do [sword]4 damage|[gray](Reuseable),Pea Shooter_upgraded,Do [sword]4 damage|[gray](Reuseable),
,Lightning Rod,Discharge [sword]<charge> damage|Take damage to charge,Lightning Rod,Discharge [sword]<charge> damage|Take damage to charge,
,Lightning Rod_downgraded,Discharge[;] but do|zero damage,Lightning Rod_downgraded,Discharge[;] but do|zero damage,
,Lightning Rod_upgraded,Discharge [sword]<charge> damage|Take damage to charge,Lightning Rod_upgraded,Discharge [sword]<charge> damage|Take damage to charge,
,Scrap Metal,Gain [shield]1 shield|(Always offered as scrap),Scrap Metal,Gain [shield]1 shield|(Always offered as scrap),
,Scrap Metal_downgraded,No effect.|(Always offered as scrap),Scrap Metal_downgraded,No effect.|(Always offered as scrap),
,Scrap Metal_upgraded,Gain [shield]2 shield|(Always offered as scrap),Scrap Metal_upgraded,Gain [shield]2 shield|(Always offered as scrap),
,Matchstick,Burns [fire]1 dice|[gray](Reuseable),Matchstick,Burns [fire]1 dice|[gray](Reuseable),
,Matchstick_upgraded,Burns [fire]1 dice|[gray](Reuseable),Matchstick_upgraded,Burns [fire]1 dice|[gray](Reuseable),
,Tazer,Do [shock]<d6> damage|[shock]Shocks the enemy,Tazer,Do [shock]<d6> damage|[shock]Shocks the enemy,
,Tazer_downgraded,[shock]Shocks the enemy,Tazer_downgraded,[shock]Shocks the enemy,
,Tazer_upgraded,Do [sword]<d6> damage|[shock]Shocks the enemy,Tazer_upgraded,Do [sword]<d6> damage|[shock]Shocks the enemy,
,Sonic Wave,Do [weaken]<d6> damage|[weaken]Weakens enemy,Sonic Wave,Do [weaken]<d6> damage|[weaken]Weakens enemy,
,Sonic Wave_upgraded,Do [weaken]<d6> damage|[weaken]Weakens enemy,Sonic Wave_upgraded,Do [weaken]<d6> damage|[weaken]Weakens enemy,
,Sonic Wave_downgraded,[weaken]Weakens enemy,Sonic Wave_downgraded,[weaken]Weakens enemy,
,Backstab,Do [sword]<equipmentuse> damage. Add [sword]1|on each item use.,Backstab,Do [sword]<equipmentuse> damage. Add [sword]1|on each item use.,
,Duplicate,Duplicate a dice,Duplicate,Duplicate a dice,
,Infliction,Do [sword]3 damage,Infliction,Do [sword]3 damage,
,Infliction_upgraded,Do [sword]4 damage,Infliction_upgraded,Do [sword]4 damage,
,Magic Dagger,Do [sword]2 damage|[gray](Reuseable),Magic Dagger,Do [sword]2 damage|[gray](Reuseable),
,Magic Dagger_upgraded,Do [sword]3 damage|[gray](Reuseable),Magic Dagger_upgraded,Do [sword]3 damage|[gray](Reuseable),
,Electric Shock,Do [shock]<d6> damage[;]|[]+[shock]1 shock,Electric Shock,Do [shock]<d6> damage[;]|[]+[shock]1 shock,
,Ice Shard,Do [ice]<d6> damage[;]|Freeze [ice]1 dice,Ice Shard,Do [ice]<d6> damage[;]|Freeze [ice]1 dice,
,Lightning Bolt,Do [shock]<d6> damage[;]|[]+[shock]1 shock,Lightning Bolt,Do [shock]<d6> damage[;]|[]+[shock]1 shock,
,Lightning Bolt_upgraded,Do [shock]<d6> damage[;]|[]+[shock]2 shock,Lightning Bolt_upgraded,Do [shock]<d6> damage[;]|[]+[shock]2 shock,
,Inferno,Do [fire]<d6> damage[;]|Burn [fire]1 dice,Inferno,Do [fire]<d6> damage[;]|Burn [fire]1 dice,
,Inferno_upgraded,Do [fire]<d6> damage[;]|Burn [fire]2 dice,Inferno_upgraded,Do [fire]<d6> damage[;]|Burn [fire]2 dice,
,Blizzard,Do [ice]<d6> damage[;]|Freeze [ice]1 dice,Blizzard,Do [ice]<d6> damage[;]|Freeze [ice]1 dice,
